POSITION,CLUB,FU,POINTS,PLAYED,WINS,DRAWN,LOST,GOALS FOR,GOALS AGAINST,GOAL DIFFERENCE,YELLOW CARD,RED CARD,%
1,Palmeiras,SP,80,38,24,8,6,62,32,30,95,0,70
2,Santos,SP,71,38,22,5,11,59,35,24,74,4,62
3,Flamengo,RJ,71,38,20,11,7,52,35,17,62,5,62
4,Atlético,MG,62,38,17,11,10,61,53,8,74,4,55
5,Botafogo,RJ,59,38,17,8,13,43,39,4,93,2,51
6,Atlético,PR,57,38,17,6,15,38,32,6,76,1,50
7,Corinthians,SP,55,38,15,10,13,48,42,6,76,5,48
8,Ponte Preta,SP,53,38,15,8,15,48,52,-4,97,3,46
9,Grêmio,RS,53,38,14,11,13,41,44,-3,93,6,46
10,São Paulo,SP,52,38,14,10,14,44,36,8,87,5,45
11,Chapecoense,SC,52,38,13,13,12,49,56,-7,75,2,46
12,Cruzeiro,MG,51,38,14,9,15,48,49,-1,95,9,44
13,Fluminense,RJ,50,38,13,11,14,45,45,0,86,1,43
14,Sport,PE,47,38,13,8,17,49,55,-6,81,7,41
15,Coritiba,PR,46,38,11,13,14,41,42,-1,94,4,40
16,Vitória,BA,45,38,12,9,17,51,53,-2,101,6,39
17,Internacional,RS,43,38,11,10,17,35,41,-6,98,5,37
18,Figueirense,SC,37,38,8,13,17,30,50,-20,86,8,32
19,Santa Cruz,PE,31,38,8,7,23,45,69,-24,84,6,27
20,América,MG,28,38,7,7,24,23,58,-35,66,3,24
