POSITION,CLUB,POINTS,PLAYED,WINS,DRAWN,LOST,GOALS FOR,GOALS AGAINST,GOAL DIFFERENCE,%
,,,,,,,,,,
"1
",Atlético Mineiro,84,38,26,6,6,67,34,+33,74
"2
",Flamengo,71,38,21,8,9,69,36,+33,62
"3
",Palmeiras,66,38,20,6,12,58,43,+15,58
"4
",Fortaleza,58,38,17,7,14,44,45,–1,51
"5
",Corinthians,57,38,15,12,11,40,36,+4,50
"6
",Red Bull Bragantino,56,38,14,14,10,55,46,+9,49
"7
",Fluminense,54,38,15,9,14,38,38,0,47
"8
",América Mineiro,53,38,13,14,11,41,37,+4,46
"9
",Atlético Goianiense,53,38,13,14,11,33,36,–3,46
"10
",Santos,50,38,12,14,12,35,40,–5,44
"11
",Ceará,50,38,11,17,10,39,38,+1,44
"12
",Internacional,48,38,12,12,14,44,42,+2,42
"13
",São Paulo,48,38,11,15,12,31,39,–8,42
"14
",Athletico Paranaense,47,38,13,8,17,41,45,–4,41
"15
",Cuiabá,47,38,10,17,11,34,37,–3,41
"16
",Juventude,46,38,11,13,14,36,44,–8,40
"17
",Grêmio,43,38,12,7,19,44,51,–7,38
"18
",Bahia,43,38,11,10,17,42,51,–9,38
"19
",Sport,38,38,9,11,18,24,37,–13,33
"20
",Chapecoense,15,38,1,12,25,27,67,–40,13
