POSITION,CLUB,FU,POINTS,PLAYED,WINS,DRAWN,LOST,GOALS FOR,GOALS AGAINST,GOAL DIFFERENCE,YELLOW CARD,RED CARD,%
1,Palmeiras,SP,81,38,23,12,3,66,27,39,85,6,71
2,Internacional,RS,73,38,20,13,5,58,31,27,94,5,64
3,Fluminense,RJ,70,38,21,7,10,63,41,22,85,11,61
4,Corinthians,SP,65,38,18,11,9,44,36,8,84,6,57
5,Flamengo,RJ,62,38,18,8,12,60,39,21,84,4,54
6,Athletico Paranaense,PR,58,38,16,10,12,48,48,0,95,4,50
7,Atlético Mineiro,MG,58,38,15,13,10,45,37,8,93,3,50
8,Fortaleza,CE,55,38,15,10,13,46,39,7,88,8,48
9,São Paulo,SP,54,38,13,15,10,55,42,13,102,9,47
10,América Fc Saf,MG,53,38,15,8,15,40,40,0,88,5,46
11,Botafogo,RJ,53,38,15,8,15,41,43,-2,98,6,46
12,Santos,SP,47,38,12,11,15,44,41,3,102,7,41
13,Goiás,GO,46,38,11,13,14,40,53,-13,117,8,40
14,Red Bull Bragantino,SP,44,38,11,11,16,49,59,-10,93,7,38
15,Coritiba,PR,42,38,12,6,20,39,60,-21,113,12,36
16,Cuiabá Saf,MT,41,38,10,11,17,31,42,-11,82,11,35
17,Ceará,CE,37,38,7,16,15,34,41,-7,127,10,32
18,Atlético,GO,36,38,8,12,18,39,57,-18,104,9,31
19,Avaí,SC,35,38,9,8,21,34,60,-26,102,4,30
20,Juventude,RS,22,38,3,13,22,29,69,-40,112,8,19
