POSITION,CLUB,FU,POINTS,PLAYED,WINS,DRAWN,LOST,GOALS FOR,GOALS AGAINST,GOAL DIFFERENCE,YELLOW CARD,RED CARD,%
1,Fluminense,RJ,77,38,22,11,5,61,33,28,85,3,67
2,Atlético,MG,72,38,20,12,6,64,37,27,104,10,63
3,Grêmio,RS,71,38,20,11,7,56,33,23,102,9,62
4,São Paulo,SP,66,38,20,6,12,59,37,22,93,6,57
5,Vasco da Gama,RJ,58,38,16,10,12,45,44,1,91,3,50
6,Corinthians,SP,57,38,15,12,11,51,39,12,87,3,50
7,Botafogo,RJ,55,38,15,10,13,60,50,10,75,3,48
8,Santos,SP,53,38,13,14,11,50,44,6,82,4,46
9,Cruzeiro,MG,52,38,15,7,16,47,51,-4,121,9,45
10,Internacional,RS,52,38,13,13,12,44,40,4,106,6,45
11,Flamengo,RJ,50,38,12,14,12,39,46,-7,81,6,43
12,Náutico,PE,49,38,14,7,17,44,51,-7,86,6,43
13,Coritiba,PR,48,38,14,6,18,53,60,-7,99,7,42
14,Ponte Preta,SP,48,38,12,12,14,37,44,-7,94,2,42
15,Bahia,BA,47,38,11,14,13,37,41,-4,112,2,41
16,Portuguesa,SP,45,38,10,15,13,39,41,-2,87,4,39
17,Sport,PE,41,38,10,11,17,39,56,-17,85,8,36
18,Palmeiras,SP,34,38,9,7,22,39,54,-15,106,6,29
19,Atlético,GO,30,38,7,9,22,37,67,-30,102,6,26
20,Figueirense,SC,30,38,7,9,22,39,72,-33,95,9,26
