POSITION,CLUB,FU,POINTS,PLAYED,WINS,DRAWN,LOST,GOALS FOR,GOALS AGAINST,GOAL DIFFERENCE,YELLOW CARD,RED CARD,%
1,Cruzeiro,MG,80,38,24,8,6,67,38,29,70,2,70
2,São Paulo,SP,70,38,20,10,8,59,40,19,92,4,61
3,Internacional,RS,69,38,21,6,11,53,41,12,92,6,60
4,Corinthians,SP,69,38,19,12,7,49,31,18,70,3,60
5,Atlético,MG,62,38,17,11,10,51,38,13,83,2,54
6,Fluminense,RJ,61,38,17,10,11,61,42,19,75,5,53
7,Grêmio,RS,61,38,17,10,11,36,24,12,95,3,53
8,Atletico,PR,54,38,15,9,14,43,42,1,72,1,47
9,Santos,SP,53,38,15,8,15,42,35,7,71,4,46
10,Flamengo,RJ,52,38,14,10,14,46,47,-1,67,4,45
11,Sport,PE,52,38,14,10,14,36,46,-10,74,2,45
12,Goiás,GO,47,38,13,8,17,38,40,-2,77,2,41
13,Figueirense,SC,47,38,13,8,17,37,47,-10,92,10,41
14,Coritiba,PR,47,38,12,11,15,42,45,-3,96,2,41
15,Chapecoense,SC,43,38,11,10,17,39,44,-5,67,2,37
16,Palmeiras,SP,40,38,11,7,20,34,59,-25,92,7,35
17,Vitória,BA,38,38,10,8,20,37,54,-17,78,2,33
18,Bahia,BA,37,38,9,10,19,31,43,-12,94,7,32
19,Botafogo,RJ,34,38,9,7,22,31,48,-17,86,9,29
20,Criciuma,SC,32,38,7,11,20,28,56,-28,114,5,28
