POSITION,CLUB,FU,POINTS,PLAYED,WINS,DRAWN,LOST,GOALS FOR,GOALS AGAINST,GOAL DIFFERENCE,YELLOW CARD,RED CARD,%
1,Cruzeiro,MG,76,38,23,7,8,77,37,40,73,4,66
2,Grêmio,RS,65,38,18,11,9,42,35,7,79,6,57
3,Atlético Paranaense,PR,64,38,18,10,10,65,49,16,92,5,56
4,Botafogo,RJ,61,38,17,10,11,55,41,14,82,3,53
5,Vitória,BA,59,38,16,11,11,59,53,6,67,1,51
6,Goiás,GO,59,38,16,11,11,48,44,4,68,5,51
7,Santos,SP,57,38,15,12,11,51,38,13,80,3,50
8,Atlético,MG,57,38,15,12,11,49,38,11,104,9,50
9,São Paulo,SP,50,38,14,8,16,39,40,-1,88,10,43
10,Corinthians,SP,50,38,11,17,10,27,22,5,66,3,43
11,Coritiba,PR,48,38,12,12,14,42,45,-3,101,4,42
12,Bahia,BA,48,38,12,12,14,37,45,-8,102,7,42
13,Internacional,RS,48,38,11,15,12,51,52,-1,95,7,42
14,Criciuma,SC,46,38,13,7,18,49,63,-14,100,6,40
15,Fluminense,RJ,46,38,12,10,16,43,47,-4,81,11,40
16,Flamengo,RJ,45,38,12,13,13,43,46,-3,66,5,39
17,Portuguesa,SP,44,38,12,12,14,50,46,4,89,9,38
18,Vasco da Gama,RJ,44,38,11,11,16,50,61,-11,92,2,38
19,Ponte Preta,SP,37,38,9,10,19,37,55,-18,81,4,32
20,Náutico,PE,20,38,5,5,28,22,79,-57,77,3,17
